review_id,query,side,rank,service_name,human_verdict,human_notes
review-0027,מיצוי זכויות ופטור ממס הכנסה לחולי סרטן,unexpected_retrieved,21,סיוע לתושבים ואזרחים - תמיכה נפשית,,
review-0028,דיור נתמך לצעיר עם סכיזופרניה באזור המרכז,missed_ground_truth,4,פנימיית מעוז - מסגרת שיקומית לנוער בסיכון,,
review-0029,"פיטרו אותי מהעבודה מיד אחרי שחזרתי ממילואים של 3 חודשים, למי מתלוננים?",unexpected_retrieved,8,סיוע לחיילים משוחררים יוצאים בשאלה,,
review-0030,"הבן שלי מסתגר בחדר כבר חודשיים ומסרב ללכת לבית ספר, למי פונים לקבלת עזרה?",unexpected_retrieved,21,קו חירום להורים לגיל הרך - מרכז דואט,,
review-0031,מיצוי זכויות לחולים,missed_ground_truth,7,שותפים לחיים,,
review-0032,דיור נתמך לצעיר עם סכיזופרניה באזור המרכז,unexpected_retrieved,3,מכינה לחיים עצמאיים דרור - דיור לצעירים בקהילה,,
review-0033,לאן פונים שקורסים כלכלית ולא מצליחים לסגור את החובות ואת החודש,missed_ground_truth,186,מתן עזרה לתלמידים של משפחות נזקקות,,
review-0034,דיור מוסדי לצעירים,unexpected_retrieved,2,הוסטלים לצעירים יוצאים בשאלה,,
review-0035,תור לבדיקת שמיעה,unexpected_retrieved,10,מועדונית יום שהות ארוך לילדים ואנשים עם מוגבלות,,
review-0036,חינוך והעשרה עבור נוער,unexpected_retrieved,1,העשרה ערכית לילדים ונוער בסיכון,,
review-0037,"אנחנו זוג צעיר שנקלע למינוס עצום בגלל הלוואות, מחפשים עמותה שמייעצת בניהול כלכלת המשפחה בחינם.",missed_ground_truth,14,מערך סדנאות חברתיות/ קהילתיות / מנהיגות והעצמה,,
review-0038,סיוע משפטי בחינם לאישה בהליכי גירושין,unexpected_retrieved,11,סיוע משפטי לנפגעות אלימות מינית,,
review-0039,לאן פונים שקורסים כלכלית ולא מצליחים לסגור את החובות ואת החודש,missed_ground_truth,192,סדנאות למניעת פשיעה,,
review-0040,"הבן שלי מכור להימורים ורוצה להיגמל, איפה יש מרכזי טיפול או קבוצות תמיכה למכורים ומשפחותיהם?",unexpected_retrieved,13,מרכז יום לבני נוער נפגעי התמכרויות,,
review-0041,"בעלי אלים כלפיי ואני פוחדת על הילדים, לאיזה קו חירום אפשר להתקשר עכשיו?",unexpected_retrieved,26,"סיוע לילדים, בני נוער והורים - המועצה הלאומית לשלום הילד",,
review-0042,"עליתי לארץ לפני שנה ויש לי בעיה עם משרד הפנים, איפה יש עמותה שעוזרת לעולים מול הבירוקרטיה?",unexpected_retrieved,8,אירועים ופעילויות לקליטה חברתית וקהילתית,,
review-0043,לאן פונים שקורסים כלכלית ולא מצליחים לסגור את החובות ואת החודש,missed_ground_truth,9,נושמים לרווחה / מרכזי עוצמה,,
review-0044,חלוקת סלי מזון לחגים בנתניה,missed_ground_truth,2,אוכל תינוקות וסלי מזון,,
review-0045,קו חם לנפגעות אלימות במשפחה בשפה הרוסית,unexpected_retrieved,12,סיוע רגשי לאזרחים ותושבים,,
review-0046,"בעלי עבר תאונת עבודה ואנחנו מסובכים בחובות, ממי אפשר לבקש עזרה?",unexpected_retrieved,14,באחריות לוקחים אחריות!,,
review-0047,ייעוץ זוגי מסובסד רחובות,unexpected_retrieved,11,ייעוץ פסיכולוגי,,
review-0048,איך קובעים פגישה עם עובדת סוציאלית בלשכת הרווחה באשדוד?,missed_ground_truth,89,תמיכה למשפחות של קורבנות רצח - ארגון משפחות נרצחים ונרצחות,,
review-0049,מיצוי זכויות ופטור ממס הכנסה לחולי סרטן,unexpected_retrieved,34,ליווי רגשי לחולי סרטן ומשפחותיהם - יד תמר לחולה,,
review-0050,מיצוי זכויות לניצולי שואה,unexpected_retrieved,7,"תכנית ""משאלת לב לניצולי השואה""",,
review-0051,סדנאות כתיבת קורות חיים והכנה לראיונות לבני 50 פלוס,missed_ground_truth,45,תעסוקה נתמכת לאנשים עם מוגבלות,,
review-0052,אוכל למשפחה מעוטת אמצעים,missed_ground_truth,40,סיוע למשפחות נזקקות,,
review-0053,איך קובעים פגישה עם עובדת סוציאלית בלשכת הרווחה באשדוד?,missed_ground_truth,54,מיצוי זכויות וטיפול בפרט,,
review-0054,לאן פונים שקורסים כלכלית ולא מצליחים לסגור את החובות ואת החודש,missed_ground_truth,187,סיוע לארכים,,
review-0055,"פיטרו אותי מהעבודה מיד אחרי שחזרתי ממילואים של 3 חודשים, למי מתלוננים?",unexpected_retrieved,2,תמיכה כלכלית למילואימניקים בעלי עסקים,,
review-0056,"אמא שלי השתחררה מבית החולים, מה מגיע לה?",missed_ground_truth,5,מיצוי זכויות לחולי אפילפסיה,,
review-0057,"גילו לאשתי מחלה חשוכת מרפא ואנחנו זקוקים להוספיס בית ולתמיכה רגשית, למי פונים?",missed_ground_truth,1,סדנאות ליווי רוחני,,
review-0058,"חברה שלי מדברת על התאבדות ואני לא יודעת מה לעשות, יש צ'אט או טלפון להתייעץ?",unexpected_retrieved,25,"סיוע לנוער במתן מענה ראשוני רגשי ונפשי בהתמודדות עם שיימינג,אלימות ובריונות",,
review-0059,רשת תמיכה לאזרחים ותיקים,missed_ground_truth,91,מרכז הוד להאשרת שעות הפנאי,,
review-0060,ביגוד והנעלה למשפחות נזקקות,missed_ground_truth,4,שינוע מזון וציוד,,
review-0061,לאן פונים שקורסים כלכלית ולא מצליחים לסגור את החובות ואת החודש,missed_ground_truth,6,תוכנית נושמים לרווחה,,
review-0062,איך קובעים פגישה עם עובדת סוציאלית בלשכת הרווחה באשדוד?,unexpected_retrieved,14,מרכז יום לאזרחים ותיקים,,
review-0063,"חברה שלי מדברת על התאבדות ואני לא יודעת מה לעשות, יש צ'אט או טלפון להתייעץ?",unexpected_retrieved,22,מוקד מקשיבים - לציבור החרדי,,
review-0064,איך קובעים פגישה עם עובדת סוציאלית בלשכת הרווחה באשדוד?,missed_ground_truth,61,מיצוי זכויות לחולי אפילפסיה,,
review-0065,קו חם לנפגעות אלימות במשפחה בשפה הרוסית,unexpected_retrieved,25,קו טלפון לתמיכה ולהקשבה,,
review-0066,"חברה שלי מדברת על התאבדות ואני לא יודעת מה לעשות, יש צ'אט או טלפון להתייעץ?",unexpected_retrieved,35,סיוע לתושבים ואזרחים: - תמיכה נפשית,,
review-0067,סיוע משפטי למשפחות של נעדרים,missed_ground_truth,4,מוקד זכויות בנושא שירותי בריאות ורפואה - האגודה לזכויות החולה,,
review-0068,"גילו לאשתי מחלה חשוכת מרפא ואנחנו זקוקים להוספיס בית ולתמיכה רגשית, למי פונים?",unexpected_retrieved,32,עזרה בבית,,
review-0069,"הבן שלי מכור להימורים ורוצה להיגמל, איפה יש מרכזי טיפול או קבוצות תמיכה למכורים ומשפחותיהם?",unexpected_retrieved,16,"מרכז מטר""א – מוקד טיפול ראשוני אבחוני לנפגעי התמכרויות",,
review-0070,אני אם חד הורית ומחפשת קורס מקצועי בחינם או בסבסוד כדי לשפר את השכר שלי.,missed_ground_truth,10,מרכז הורים ילדים לטיפול בילדים בסיכון ובמשפחותיהם,,
review-0071,מה הזכויות שלי לגבי קצבת שמירת הריון בביטוח לאומי?,unexpected_retrieved,4,סיוע בכל הקשור להריון ולידה - התנועה לחופש בחירה בלידה,,
review-0072,לאן פונים שקורסים כלכלית ולא מצליחים לסגור את החובות ואת החודש,missed_ground_truth,194,עזרה לכלות,,
review-0073,"סבא שלי נפל וצריך כיסא גלגלים והליכון בהשאלה לחודשיים, ממי אפשר לקחת?",missed_ground_truth,3,אספקת מסגרות משקפים במחיר סמלי,,
review-0074,אוכל למשפחה מעוטת אמצעים,missed_ground_truth,8,תמיכה במשפחות ומבוגרים נזקקים לקראת החגים,,
review-0075,מסגרת לנער אוטיסט בתפקוד גבוה,missed_ground_truth,1,מועדונית,,
review-0076,לאן פונים שקורסים כלכלית ולא מצליחים לסגור את החובות ואת החודש,missed_ground_truth,122,חלוקת בגדים,,
review-0077,קו חם לנפגעות אלימות במשפחה בשפה הרוסית,unexpected_retrieved,18,קו ייעוץ לנשים במצבי משבר ובצמתים של שינוי - נעמת,,
review-0078,ליווי והדרכה לצעירים,missed_ground_truth,21,טיפול קבוצתי,,
review-0079,קו חם לנפגעות אלימות במשפחה בשפה הרוסית,unexpected_retrieved,27,ייעוץ,,
review-0080,סיוע משפטי למשפחות של נעדרים,unexpected_retrieved,21,ייצוג וייעוץ משפטי לאנשים שהופלו או נפגעו מחמת מוגבלותם,,
review-0081,דיור לנשים נפגעות אלימות,unexpected_retrieved,5,הוסטל בית אלה - הוסטל טיפולי קצר מועד לנפגעות טראומה מינית,,
review-0082,איך קובעים פגישה עם עובדת סוציאלית בלשכת הרווחה באשדוד?,missed_ground_truth,73,סיוע לחיילים יוצאים בשאלה,,
review-0083,חוג שחייה טיפולית (הידרותרופיה) לילדים על הרצף האוטיסטי,missed_ground_truth,1,"פעילות ספורט עממית ותחרותית החל מגיל 8 + פעילות ""ספורטאי צעיר"" החל מגיל 4",,
review-0084,"פיטרו אותי מהעבודה מיד אחרי שחזרתי ממילואים של 3 חודשים, למי מתלוננים?",unexpected_retrieved,25,הגנה על זכויות אדם,,
review-0085,עברתי פגיעה מינית לפני כמה שנים ואני מחפשת סיוע נפשי ומשפטי ממוקד לנפגעות תקיפה מינית.,missed_ground_truth,6,בית אמיתי - בית לנערות וצעירות נפגעות אלימות מינית,,
review-0086,לאן פונים שקורסים כלכלית ולא מצליחים לסגור את החובות ואת החודש,missed_ground_truth,167,תעסוקה לרווחה,,
review-0087,מיצוי זכויות ופטור ממס הכנסה לחולי סרטן,unexpected_retrieved,30,משמחים את הילדים הנמצאים במחלקות האנוקולוגיות,,
review-0088,סיוע כספי למשרתי מילואים,unexpected_retrieved,2,סיוע כספי למשפחות נזקקות,,
review-0089,חלוקת סלי מזון לחגים בנתניה,missed_ground_truth,9,סיוע לאוכלוסיות נזקקות מקרב יהודי תימן,,
review-0090,תור לבדיקת שמיעה,unexpected_retrieved,7,בדיקות עיניים למפונים,,
review-0091,עברתי פגיעה מינית לפני כמה שנים ואני מחפשת סיוע נפשי ומשפטי ממוקד לנפגעות תקיפה מינית.,unexpected_retrieved,1,סיוע לנפגעי תקיפה מינית,,
review-0092,רשת תמיכה לאזרחים ותיקים,missed_ground_truth,81,"הפגת הבדידות , בית בטוח",,
review-0093,"אנחנו זוג צעיר שנקלע למינוס עצום בגלל הלוואות, מחפשים עמותה שמייעצת בניהול כלכלת המשפחה בחינם.",missed_ground_truth,12,"מחנות קיץ לילדים ולמשפחות שכולות ולילדים מחו""ל למטרות ציונות וחינוך",,
review-0094,איך קובעים פגישה עם עובדת סוציאלית בלשכת הרווחה באשדוד?,missed_ground_truth,4,מרכז עוצמה,,
review-0095,אני מוכרת בביטוח לאומי עם 40% נכות פסיכיאטרית ומחפשת ליווי למציאת עבודה שמתאימה לי.,unexpected_retrieved,7,ייעוץ וסדנאות בתחומי תעסוקה העצמה ויכולות אישיות,,
review-0096,"בעלי אלים כלפיי ואני פוחדת על הילדים, לאיזה קו חירום אפשר להתקשר עכשיו?",unexpected_retrieved,5,קו סיוע לגברים - ארצי,,
review-0097,קו חם לנפגעות אלימות במשפחה בשפה הרוסית,unexpected_retrieved,17,סיוע משפטי לנפגעות אלימות מינית,,
review-0098,סדנאות כתיבת קורות חיים והכנה לראיונות לבני 50 פלוס,missed_ground_truth,59,"בית לינה"" טיפול רגשי לטרנסיות במעגל הזנות - משרד הרווחה והביטחון החברתי וקבוצת רמות""",,
review-0099,"חברה שלי מדברת על התאבדות ואני לא יודעת מה לעשות, יש צ'אט או טלפון להתייעץ?",unexpected_retrieved,13,תמיכה נפשית ושיח - מרכז לין - חברה ערבית,,
review-0100,"אמא שלי מרותקת לכסא גלגלים, שירותים ופעילות פנאי בבאר שבע",unexpected_retrieved,14,פעילויות פנאי,,
review-0101,אוכל למשפחה מעוטת אמצעים,missed_ground_truth,22,סיוע לתושבים ואזרחים: - מזון,,
review-0102,תור לבדיקת שמיעה,unexpected_retrieved,19,שיקום ילדים לקויי שמיעה וחרשים בגישה השמיעתית-מילולית,,
review-0103,ביגוד והנעלה למשפחות נזקקות,missed_ground_truth,6,"רווחה, תמיכה ביולדות, בזוגות צעירים, ציוד לתינוקות, משפחות נזקקות",,
review-0104,מועדון יום לאזרחים ותיקים כולל הסעות באזור השרון,missed_ground_truth,14,תרבות לקשיש,,
review-0105,סדנאות כתיבת קורות חיים והכנה לראיונות לבני 50 פלוס,missed_ground_truth,54,אבחונים פסיכודיאגנוסטיים תעסוקתיים וייעוץ תעסוקתי,,
review-0106,מסגרת דיור למתמודדי נפש,unexpected_retrieved,7,סוטריה ירושלים - בית מאזן לגברים,,
review-0107,"פיטרו אותי מהעבודה מיד אחרי שחזרתי ממילואים של 3 חודשים, למי מתלוננים?",unexpected_retrieved,19,פיקוח על מוסדות ציבור ושלטון החוק,,
review-0108,סיוע משפטי בחינם לאישה בהליכי גירושין,unexpected_retrieved,20,תמיכה ולווי בנשים ובמשפחותיהן בהתמודדות במצבי שגרה וחירום,,
review-0109,חוג שחייה טיפולית (הידרותרופיה) לילדים על הרצף האוטיסטי,unexpected_retrieved,13,שירותים לתסמונות ואוטיזם,,
review-0110,מיצוי זכויות ופטור ממס הכנסה לחולי סרטן,unexpected_retrieved,32,קבלות קהל למיצוי זכויות בחינם,,
review-0111,רשת תמיכה לאזרחים ותיקים,missed_ground_truth,82,סיוע התנדבותי לקשישים בתיקוני בית,,
review-0112,ביגוד והנעלה למשפחות נזקקות,missed_ground_truth,8,מכירת מוצרים במחירים מוזלים בסופר החברתי אחי יעקב,,
review-0113,איך קובעים פגישה עם עובדת סוציאלית בלשכת הרווחה באשדוד?,unexpected_retrieved,13,"מעטפ""ת לעולים - מערך הטיפול והתמיכה בסטודנטים עולים",,
review-0114,"אני חולה דיאליזה וצריך הסעות קבועות לבית החולים פעמיים בשבוע, יש ארגון שמתנדב בהסעות?",unexpected_retrieved,2,הסעות לילדים חולים ומוגבלים,,
review-0115,לאן פונים שקורסים כלכלית ולא מצליחים לסגור את החובות ואת החודש,unexpected_retrieved,9,עזרה ותמיכה לנזקקים,,
review-0116,איך מוציאים תו נכה לרכב עבור הורה סיעודי?,missed_ground_truth,1,סיוע לאזרחים ותיקים מטעם המחלקה לשירותים חברתיים,,
review-0117,מוסד גמילה מסמים ואלכוהול לנוער באזור הצפון,unexpected_retrieved,5,היחידה לטיפול בהתמכרויות - בית שאן,,
review-0118,"אני חולה דיאליזה וצריך הסעות קבועות לבית החולים פעמיים בשבוע, יש ארגון שמתנדב בהסעות?",unexpected_retrieved,13,שירותים למעוטי יכולת,,
review-0119,איך קובעים פגישה עם עובדת סוציאלית בלשכת הרווחה באשדוד?,missed_ground_truth,77,תמיכה ועזרה בקליטת עולים,,
review-0120,רשת תמיכה לאזרחים ותיקים,missed_ground_truth,34,ליווי וטיפול פרטני,,
review-0121,"אמא שלי אלמנה ומרגישה מאוד בודדה, יש מתנדבים שיכולים לבוא לבקר אותה פעם בשבוע?",unexpected_retrieved,24,מיזם ארצי להתנדבות להפגת בדידות ניצולי שואה - הרשות לזכויות ניצולי שואה בשיתוף מטב,,
review-0122,"אמא שלי מרותקת לכסא גלגלים, שירותים ופעילות פנאי בבאר שבע",unexpected_retrieved,10,הפקות והצגות,,
review-0123,"אנחנו זוג צעיר שנקלע למינוס עצום בגלל הלוואות, מחפשים עמותה שמייעצת בניהול כלכלת המשפחה בחינם.",missed_ground_truth,10,קליטת עליה וזהות יהודית לעולי צפון אמריקה,,
review-0124,קבוצת תמיכה לאחים של ילדים עם צרכים מיוחדים,unexpected_retrieved,17,תמיכה ושיקום לילדים ובני משפחותיהם,,
review-0125,רשת תמיכה לאזרחים ותיקים,missed_ground_truth,75,חוגים בנושאים שונים,,
review-0126,קבוצת תמיכה לאחים של ילדים עם צרכים מיוחדים,unexpected_retrieved,23,"ייעוץ, תמיכה והעצמה אישית",,
review-0127,מיצוי זכויות ופטור ממס הכנסה לחולי סרטן,unexpected_retrieved,9,סיוע כספי לחולים ולמשפחותיהם,,
review-0128,סדנאות כתיבת קורות חיים והכנה לראיונות לבני 50 פלוס,missed_ground_truth,48,מפעל מקדם תעסוקה – אשקלון,,
review-0129,דיור לנשים נפגעות אלימות,missed_ground_truth,1,תוכנית למניעת אלימות במשפחה,,
review-0130,קו חם לנפגעות אלימות במשפחה בשפה הרוסית,unexpected_retrieved,38,"ייעוץ, תמיכה והעצמה אישית",,
review-0131,לאן פונים שקורסים כלכלית ולא מצליחים לסגור את החובות ואת החודש,missed_ground_truth,176,מערך תמיכה להורי הילדים,,
review-0132,אני מוכרת בביטוח לאומי עם 40% נכות פסיכיאטרית ומחפשת ליווי למציאת עבודה שמתאימה לי.,unexpected_retrieved,6,תעסוקה מעברית,,
review-0133,אני אם חד הורית ומחפשת קורס מקצועי בחינם או בסבסוד כדי לשפר את השכר שלי.,unexpected_retrieved,23,הכוונה בחירום לנשים במצבי זנות החוזרות למעגל העבודה - המכללה,,
review-0134,אני אם חד הורית ומחפשת קורס מקצועי בחינם או בסבסוד כדי לשפר את השכר שלי.,unexpected_retrieved,13,הכשרת מטפלות יוניטף,,
review-0135,חלוקת סלי מזון לחגים בנתניה,missed_ground_truth,7,שירותים למעוטי יכולת,,
review-0136,"אני חולה דיאליזה וצריך הסעות קבועות לבית החולים פעמיים בשבוע, יש ארגון שמתנדב בהסעות?",unexpected_retrieved,7,הסעות תלמידי רווחה למרכזי למידה ולמשפחות אומנה ורווחה,,
review-0137,קו חם לנפגעות אלימות במשפחה בשפה הרוסית,unexpected_retrieved,9,ליווי ותמיכה במשתתפות התוכנית שנפגעו מהמלחמה,,
review-0138,"אנחנו זוג צעיר שנקלע למינוס עצום בגלל הלוואות, מחפשים עמותה שמייעצת בניהול כלכלת המשפחה בחינם.",unexpected_retrieved,2,יעוץ ושיקום כלכלי למועטי יכולת,,
review-0139,אני אם חד הורית ומחפשת קורס מקצועי בחינם או בסבסוד כדי לשפר את השכר שלי.,unexpected_retrieved,21,הכשרה,,
review-0140,לאן פונים שקורסים כלכלית ולא מצליחים לסגור את החובות ואת החודש,missed_ground_truth,217,תמיכות בריאות למשפחות ובודדים במצוקה,,
review-0141,"הבן שלי מכור להימורים ורוצה להיגמל, איפה יש מרכזי טיפול או קבוצות תמיכה למכורים ומשפחותיהם?",unexpected_retrieved,1,מרכזי גמילה לסמים ואלכוהול,,
review-0142,איך קובעים פגישה עם עובדת סוציאלית בלשכת הרווחה באשדוד?,missed_ground_truth,56,ייצוג וייעוץ משפטי לאנשים שהופלו או נפגעו מחמת מוגבלותם,,
review-0143,איך קובעים פגישה עם עובדת סוציאלית בלשכת הרווחה באשדוד?,missed_ground_truth,28,מרכזי אפ60+ להכוונה וצמיחה עבור אזרחים ותיקים,,
review-0144,רשת תמיכה לאזרחים ותיקים,missed_ground_truth,101,ידיד לחינוך - גמלאים מתנדבים במערכת החינוך,,
review-0145,סיוע משפטי בחינם לאישה בהליכי גירושין,unexpected_retrieved,34,"מתן ייעוץ ע""י מומחים בתחומים סביב לידה על בסיס התנדבותי",,
review-0146,"בעלי עבר תאונת עבודה ואנחנו מסובכים בחובות, ממי אפשר לבקש עזרה?",unexpected_retrieved,17,במעלה החמישה! - סיוע לאנשים במשבר כלכלי - עמותת אחריות,,
review-0147,איך קובעים פגישה עם עובדת סוציאלית בלשכת הרווחה באשדוד?,unexpected_retrieved,16,מרכז טיפול בנפגעי תקיפה מינית בגירים,,
review-0148,איך קובעים פגישה עם עובדת סוציאלית בלשכת הרווחה באשדוד?,missed_ground_truth,79,הנגשת מידע על מחלות ריאה והשתלות ריאה.,,
review-0149,"פיטרו אותי מהעבודה מיד אחרי שחזרתי ממילואים של 3 חודשים, למי מתלוננים?",unexpected_retrieved,16,הלשכה לפניות הציבור,,
review-0150,מוסד גמילה מסמים ואלכוהול לנוער באזור הצפון,missed_ground_truth,4,מרכז אמבולטורי,,
review-0151,סדנאות כתיבת קורות חיים והכנה לראיונות לבני 50 פלוס,missed_ground_truth,17,תעסוקה מיטיבה שיקום תעסוקתי לשורדי ושורדות זנות - משרד הרווחה והופ סנטר,,
review-0152,"בעלי אלים כלפיי ואני פוחדת על הילדים, לאיזה קו חירום אפשר להתקשר עכשיו?",unexpected_retrieved,6,ליווי ותמיכה בנשים נפגעות אלימות וילדיהן,,
review-0153,ליווי והדרכה לצעירים,missed_ground_truth,9,תכניות יעודיות לצעירים ישראלים,,
review-0154,לאן פונים שקורסים כלכלית ולא מצליחים לסגור את החובות ואת החודש,missed_ground_truth,130,חלוקת סלי מזון לנזקקים לפני החגים,,
review-0155,סיוע בשכר דירה לחיילים בודדים משוחררים,unexpected_retrieved,7,תמיכה בחילים בודדים וחיילים במצוקה,,
review-0156,"אמא שלי השתחררה מבית החולים, מה מגיע לה?",missed_ground_truth,9,תמיכה בחולים ובני משפחתם,,
review-0157,"אמא שלי אלמנה ומרגישה מאוד בודדה, יש מתנדבים שיכולים לבוא לבקר אותה פעם בשבוע?",unexpected_retrieved,28,"תמיכה וסיוע נפשי/רגשי-חברתי מאדם לאדם, צמצום: בדידות, ניכור וחרם, מניעת אובדנות.",,
review-0158,ייעוץ זוגי מסובסד רחובות,unexpected_retrieved,8,טיפולים רגשיים בקהילה - בסבסוד,,
review-0159,"גילו לאשתי מחלה חשוכת מרפא ואנחנו זקוקים להוספיס בית ולתמיכה רגשית, למי פונים?",missed_ground_truth,2,השתלמויות וסדנאות לאנשי צוות ובני משפחה,,
review-0160,סיוע משפטי למשפחות של נעדרים,missed_ground_truth,10,זכויות עובדים במצב חירום,,
review-0161,לאן פונים שקורסים כלכלית ולא מצליחים לסגור את החובות ואת החודש,missed_ground_truth,19,"ניתוב, סיוע והגשת תרופות לנזקקים",,
review-0162,ייעוץ זוגי מסובסד רחובות,unexpected_retrieved,7,טיפול זוגי ומשפחתי,,
review-0163,איך קובעים פגישה עם עובדת סוציאלית בלשכת הרווחה באשדוד?,missed_ground_truth,87,ייעוץ וסיוע במימוש זכויות לחולים ומושתלים,,
review-0164,"אמא שלי השתחררה מבית החולים, מה מגיע לה?",unexpected_retrieved,7,להיות שם כשצריך,,
review-0165,"גילו לאשתי מחלה חשוכת מרפא ואנחנו זקוקים להוספיס בית ולתמיכה רגשית, למי פונים?",unexpected_retrieved,30,סיוע לילדים חולים ובני משפחתם,,
review-0166,פיזיותרפיה וריפוי בעיסוק בבית לקשיש לאחר שבר באגן,unexpected_retrieved,5,סיוע לקשישים,,
review-0167,ליווי והדרכה לצעירים,missed_ground_truth,6,תכנית צעירות-אמהות,,
review-0168,"אני חולה דיאליזה וצריך הסעות קבועות לבית החולים פעמיים בשבוע, יש ארגון שמתנדב בהסעות?",unexpected_retrieved,5,אמבולנס,,
review-0169,מסגרת דיור למתמודדי נפש,unexpected_retrieved,5,בית מדרש שיקומי למתמודדי נפש,,
review-0170,רשת תמיכה לאזרחים ותיקים,missed_ground_truth,122,שירותים לחולי סרטן,,
review-0171,"אבא שלי עבר אירוע מוחי וחוזר הביתה, איזה סיוע ושיקום מגיע לו?",unexpected_retrieved,10,שירות טיפול ביתי על פי חוק סיעוד,,
review-0172,"בעלי עבר תאונת עבודה ואנחנו מסובכים בחובות, ממי אפשר לבקש עזרה?",unexpected_retrieved,1,חובות לשוק האפור? אל תברחו מהארץ! יש פיתרון!,,
review-0173,סיוע כספי למשרתי מילואים,unexpected_retrieved,1,"במסגרת מיזם לב אחד גדודי מילואים יכולים לקבל עד 30,000 ש""ח בשנה בכפוף לתקנון",,
review-0174,לאן פונים שקורסים כלכלית ולא מצליחים לסגור את החובות ואת החודש,missed_ground_truth,191,"שליחת סלי מזון וארוחות לקשישים ונזקקים , אירוח בשבתות מיוחדות לציבור הכללי",,
